"Tree","Node","ID","Feature","Split","Yes","No","Missing","Quality","Cover"
0,0,"0-0","f2","2.17402","0-1","0-2","0-1",1404.17,1348.5
0,1,"0-1","f2","1.51582","0-3","0-4","0-3",3.61348,1251.5
0,2,"0-2","f2","2.54167","0-5","0-6","0-5",0.409852,97
0,3,"0-3","Leaf",NA,NA,NA,NA,-1.988,1249.25
0,4,"0-4","Leaf",NA,NA,NA,NA,-0.461538,2.25
0,5,"0-5","Leaf",NA,NA,NA,NA,0.5,1
0,6,"0-6","Leaf",NA,NA,NA,NA,1.95876,96
1,0,"1-0","f2","2.32211","1-1","1-2","1-1",188.379,574.131
1,1,"1-1","f2","0.539209","1-3","1-4","1-3",6.05401,532.065
1,2,"1-2","pix.600","0.5","1-5","1-6","1-5",1.99252,42.0663
1,3,"1-3","Leaf",NA,NA,NA,NA,-1.12325,519.183
1,4,"1-4","Leaf",NA,NA,NA,NA,-0.389708,12.882
1,5,"1-5","Leaf",NA,NA,NA,NA,0.035621,1.8415
1,6,"1-6","Leaf",NA,NA,NA,NA,1.11866,40.2248
2,0,"2-0","f2","1.72187","2-1","2-2","2-1",60.1371,227.495
2,1,"2-1","f2","0.539209","2-3","2-4","2-3",5.62785,208.426
2,2,"2-2","pix.719","0.5","2-5","2-6","2-5",6.46661,19.069
2,3,"2-3","Leaf",NA,NA,NA,NA,-1.00951,200.052
2,4,"2-4","Leaf",NA,NA,NA,NA,-0.152642,8.37385
2,5,"2-5","Leaf",NA,NA,NA,NA,-0.532728,2.35376
2,6,"2-6","Leaf",NA,NA,NA,NA,1.05946,16.7153
3,0,"3-0","f2","0.539209","3-1","3-2","3-1",23.9105,93.9727
3,1,"3-1","f2","0.350211","3-3","3-4","3-3",0.439798,77.0172
3,2,"3-2","pix.749","0.5","3-5","3-6","3-5",14.5643,16.9556
3,3,"3-3","Leaf",NA,NA,NA,NA,-0.937613,75.524
3,4,"3-4","Leaf",NA,NA,NA,NA,-0.207537,1.49319
3,5,"3-5","Leaf",NA,NA,NA,NA,-0.661981,7.19441
3,6,"3-6","Leaf",NA,NA,NA,NA,1.11511,9.76114
4,0,"4-0","f2","6.99872","4-1","4-2","4-1",11.1926,45.9946
4,1,"4-1","pix.810","0.5","4-3","4-4","4-3",4.85127,41.9322
4,2,"4-2","Leaf",NA,NA,NA,NA,0.914007,4.0623
4,3,"4-3","Leaf",NA,NA,NA,NA,-0.914983,27.6398
4,4,"4-4","Leaf",NA,NA,NA,NA,-0.185944,14.2925
5,0,"5-0","f2","0.350211","5-1","5-2","5-1",6.35306,26.5737
5,1,"5-1","pix.88","0.5","5-3","5-4","5-3",0.641719,15.9056
5,2,"5-2","pix.509","0.5","5-5","5-6","5-5",8.7502,10.6681
5,3,"5-3","Leaf",NA,NA,NA,NA,-0.324254,6.365
5,4,"5-4","Leaf",NA,NA,NA,NA,-0.813783,9.54055
5,5,"5-5","Leaf",NA,NA,NA,NA,-0.49074,5.75591
5,6,"5-6","Leaf",NA,NA,NA,NA,1.18387,4.91221
6,0,"6-0","pix.467","0.5","6-1","6-2","6-1",3.76142,20.6915
6,1,"6-1","f1","0.0747987","6-3","6-4","6-3",1.48633,9.12848
6,2,"6-2","pix.829","0.5","6-5","6-6","6-5",7.25576,11.5631
6,3,"6-3","Leaf",NA,NA,NA,NA,0.155097,1.5943
6,4,"6-4","Leaf",NA,NA,NA,NA,-0.813257,7.53418
6,5,"6-5","Leaf",NA,NA,NA,NA,-0.649964,5.06851
6,6,"6-6","Leaf",NA,NA,NA,NA,0.823973,6.49455
